"Integrated Scheme of School Education
                               ",,,,,,
Major Component,Sub Component,,,Activity Master,Norms,Criteria For Appraisal
Elementary Education,,,,,,
Access & Retention,Opening of New / Upgraded Schools,1,,Opening of New Schools  - NR (Elementary),,
,,,1.1,Composite School for Elementary,As per  State SORs/CPWD Rate (Which ever is less),
,,,1.2,Upgradation of PS to UPS (VI -VIII),As per  State SORs/CPWD Rate (Which ever is less),
,,2,,Opening of New Schools - Recurring (Elementary),,
,,,2.1,Recurring Cost - New Primary (Samagra),,
,,,2.2,Recurring Cost - New Upper Primary (Samagra),,
,,,2.3,Recurring Cost - Primary (Previous) (Samagra),,
,,,2.4,Recurring Cost - Upper Primary (Previous) (Samagra),,
,Netaji Subhas Chandra Avasiya Vidhyalaya,10,,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 50)   (Elementary),,
,,,10.1,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,10.2,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,10.3,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,,10.4,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
,,,10.5,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
,,,10.6,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,,12.1,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,12.2,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,12.3,Bedding (new),Physical Number should be proposed on no. of Girls Students,1. May proposed as per Capacity 
,,,12.4,Replacement of bedding (once in 3 years),Physical should be proposed per Student,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,,12.5,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
,,,12.6,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
,,,12.7,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,13,,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),,
,,,13.1,Food/Lodging per child per month,Physical Number should proposed per Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,13.2,Stipend   per child per month,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,13.3,"Supplementary TLM, Stationery and other educational material",Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,13.4,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,13.5,4 Fulltime teachers as per RTE Norms,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,13.6,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,13.7,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,13.8,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,13.9,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,13.10,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,13.11,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,13.12,Specific Skill training,Physical should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,13.13,Electricity / water charges,Physical Number should proposed per School per annum,
,,,13.14,Medical care/contingencies,Physical Number  to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,13.15,Maintenance,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,13.16,Miscellaneous,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,13.17,Preparatory camps,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,13.18,P.T.A / school functions,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,13.19,Provision of Rent,Physical Number to be proposed per School,
,,,13.20,Capacity Building,Physical Number should proposed per School / per Hostel per annum,May proposed only for Functional Schools / Hostels
,,,13.21,Physical / Self Defence Training,Physical Number to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,14,,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 100)  (Elementary),,
,,,14.1,Furniture / Equipment (including kitchen equipment),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,14.2,TLM and equipment including library books (New),Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,14.3,Bedding (New),Physical Number should be proposed on no. of Girls Students,1. May proposed as per Capacity 
,,,14.4,Construction of Building (new),As per  State SORs/CPWD Rate (Which ever is less),
,,,14.5,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
,,,14.6,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,15,,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),,
,,,15.1,No. of New NSCBA Schools (100 Capacity) - Current Year,"Enter Physical No. of New NSCBA School proposed current year, Financial budget would be Zero for this activity",
,,,15.2,Food/Lodging per child per month,Physical Number should proposed per Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,15.3,Stipend   per child per month,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,15.4,"Supplementary TLM, Stationery and other educational material",Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,15.5,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,15.6,1 Head Teacher  in case the enrollment exceeds 100,Physical Number should proposed per Head Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,15.7,4 - 5 Fulltime teachers as per RTE Norms,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,15.8,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,15.9,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,15.10,1 Full time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,15.11,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,15.12,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,15.13,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,15.14,Specific Skill training,Physical should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,15.15,Electricity / water charges,Physical Number should proposed per School per annum,
,,,15.16,Medical care/contingencies,Physical Number  to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,15.17,Maintenance,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,15.18,Miscellaneous,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,15.19,Preparatory camps,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,15.20,P.T.A / school functions,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,15.21,Provision of Rent,Physical Number to be proposed per School,
,,,15.22,Capacity Building,Physical Number should proposed per School / per Hostel per annum,May proposed only for Functional Schools / Hostels
,,,15.23,Physical / Self Defence Training,Physical Number to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,16,,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 100)  (Elementary),,
,,,16.1,Furniture / Equipment (including kitchen equipment),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,16.2,TLM and equipment including library books (New),Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,16.3,Bedding (New),Physical Number should be proposed on no. of Girls Students,1. May proposed as per Capacity 
,,,16.4,Replacement of bedding (once in 3 years),Physical should be proposed per Student,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,,16.5,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
,,,16.6,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
,,,16.7,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,17,,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),,
,,,17.1,Food/Lodging per child per month,Physical Number should proposed per Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,17.2,Stipend   per child per month,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,17.3,"Supplementary TLM, Stationery and other educational material",Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,17.4,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,17.5,1 Head Teacher  in case the enrollment exceeds 100,Physical Number should proposed per Head Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,17.6,4 - 5 Fulltime teachers as per RTE Norms,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,17.7,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,17.8,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,17.9,1 Full time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,17.10,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,17.11,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,17.12,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,17.13,Specific Skill training,Physical should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,17.14,Electricity / water charges,Physical Number should proposed per School per annum,
,,,17.15,Medical care/contingencies,Physical Number  to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,17.16,Maintenance,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,17.17,Miscellaneous,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,17.18,Preparatory camps,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,17.19,P.T.A / school functions,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,17.20,Provision of Rent,Physical Number to be proposed per School,
,,,17.21,Capacity Building,Physical Number should proposed per School / per Hostel per annum,May proposed only for Functional Schools / Hostels
,,,17.22,Physical / Self Defence Training,Physical Number to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,20,,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity  > 100)   (Elementary),,
,,,20.1,Bedding (new),Physical Number should be proposed on no. of Girls Students,1. May proposed as per Capacity 
,,,20.2,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,20.3,Replacement of bedding (once in 3 years),Physical should be proposed per Student,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
,,,20.4,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,20.5,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
,,,20.6,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,,20.7,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
,,21,,Netaji Subhash Chandra Bose Avasiya Vidy - Recurring  (Previous Year)(Capacity > 100)   (Elementary),,
,,,21.1,Food/Lodging per child per month,Physical Number should proposed per Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,21.2,Stipend   per child per month,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,21.3,"Supplementary TLM, Stationery and other educational material",Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,21.4,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,21.5,4 Fulltime teachers as per RTE Norms,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,21.6,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,21.7,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,21.8,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,21.9,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,21.10,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,21.11,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,21.12,Specific Skill training,Physical should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,21.13,Electricity / water charges,Physical Number should proposed per School per annum,
,,,21.14,Medical care/contingencies,Physical Number  to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,21.15,Maintenance,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,21.16,Miscellaneous,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,21.17,Preparatory camps,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,21.18,P.T.A / school functions,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,21.19,Provision of Rent,Physical Number to be proposed per School,
,,,21.20,Capacity Building,Physical Number should proposed per School / per Hostel per annum,May proposed only for Functional Schools / Hostels
,,,21.21,Physical / Self Defence Training,Physical Number to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,27,,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity <=100)  (Elementary),,
,,,27.1,No. of New NSCBA Schools (<=100 Capacity) - Current Year,"Enter Physical No. of New NSCBA School proposed current year, Financial budget would be Zero for this activity",
,,,27.2,Food/Lodging per child per month,Physical Number should proposed per Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,27.3,Stipend   per child per month,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,27.4,"Supplementary TLM, Stationery and other educational material",Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,27.5,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,27.6,4 Fulltime teachers as per RTE Norms,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,27.7,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,27.8,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,27.9,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,27.10,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,27.11,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,27.12,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,27.13,Specific Skill training,Physical should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,27.14,Electricity / water charges,Physical Number should proposed per School per annum,
,,,27.15,Medical care/contingencies,Physical Number  to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,27.16,Maintenance,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,27.17,Miscellaneous,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
,,,27.18,Preparatory camps,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,27.19,P.T.A / school functions,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
,,,27.20,Provision of Rent,Physical Number to be proposed per School,
,,,27.21,Capacity Building,Physical Number should proposed per School / per Hostel per annum,May proposed only for Functional Schools / Hostels
,,,27.22,Physical / Self Defence Training,Physical Number to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,29,,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - NR (New) (Capacity 50)   (Elementary),,
,,,29.1,Furniture/ Equipment (including kitchen),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
,,,29.2,TLM and equipment including library books,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,29.3,Bedding (new),Physical Number should be proposed on no. of Girls Students,1. May proposed as per Capacity 
,,,29.4,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
,,,29.5,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
,,,29.6,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
,,30,,Netaji Subhash Chandra Bose Avasiya Vidyalaya (Hostels) - (Rec) (New) (Capacity 50)  (Elementary),,
,,,30.1,No. of New Hostels (50 Capacity) - Current Year,"Enter Physical No. of New Hostels proposed current year, Financial budget would be Zero for this activity",
,,,30.2,Stipend   per child per month,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,30.4,"Supplementary TLM, Stationery and other educational material",Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
,,,30.5,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,30.6,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,30.7,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,30.8,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,30.9,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,30.10,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
,,,30.11,Specific Skill training,Physical should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
