bo.,Scheme,Major Component,Sub Component,Activity Master ID,Activity Master Name,Activity Master Details ID,Activity Master Details,Norms,Criteria For Appraisal
50,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.3,"Supplementary TLM, Stationery and other educational material",Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
51,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.4,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
52,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.5,4 Fulltime teachers as per RTE Norms,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
53,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.6,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
54,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.7,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
55,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.8,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
56,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.9,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
57,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.1,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
58,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.11,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
59,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.12,Specific Skill training,Physical should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
60,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.13,Electricity / water charges,Physical Number should proposed per School per annum,
61,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.14,Medical care/contingencies,Physical Number  to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
62,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.15,Maintenance,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
63,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.16,Miscellaneous,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
64,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.17,Preparatory camps,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
65,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.18,P.T.A / school functions,Physical Number to be proposed per School,May proposed only for Functional Schools / Hostels
66,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.19,Provision of Rent,Physical Number to be proposed per School,
67,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.2,Capacity Building,Physical Number should proposed per School / per Hostel per annum,May proposed only for Functional Schools / Hostels
68,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.21,Physical / Self Defence Training,Physical Number to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
69,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,14,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 100)  (Elementary),,,,
70,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,14,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 100)  (Elementary),14.1,Furniture / Equipment (including kitchen equipment),Physical Number should proposed per Students,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
71,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,14,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 100)  (Elementary),14.2,TLM and equipment including library books (New),Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
72,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,14,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 100)  (Elementary),14.3,Bedding (New),Physical Number should be proposed on no. of Girls Students,1. May proposed as per Capacity 
73,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,14,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 100)  (Elementary),14.4,Construction of Building (new),As per  State SORs/CPWD Rate (Which ever is less),
74,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,14,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 100)  (Elementary),14.5,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
75,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,14,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 100)  (Elementary),14.6,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
76,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),,,,
77,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.1,No. of New NSCBA Schools (100 Capacity) - Current Year,"Enter Physical No. of New NSCBA School proposed current year, Financial budget would be Zero for this activity",
78,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.2,Food/Lodging per child per month,Physical Number should proposed per Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
79,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.3,Stipend   per child per month,Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
80,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.4,"Supplementary TLM, Stationery and other educational material",Physical Should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
81,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.5,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
82,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.6,1 Head Teacher  in case the enrollment exceeds 100,Physical Number should proposed per Head Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
83,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.7,4 - 5 Fulltime teachers as per RTE Norms,Physical Number should proposed per Full Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
84,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.8,2 Urdu Teachers,Only for blocks with muslim population above 20% and select urban areas. Physical Number should proposed per Urdu Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
85,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.9,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
86,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.1,1 Full time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
87,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.11,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",Physical Number should proposed per Support Staff per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
88,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.12,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
89,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.13,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
90,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.14,Specific Skill training,Physical should be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
91,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.15,Electricity / water charges,Physical Number should proposed per School per annum,
92,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.16,Medical care/contingencies,Physical Number  to be proposed per Student,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
93,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.17,Maintenance,Physical Number  to be proposed per School,May proposed only for Functional Schools / Hostels
