Sr. No,Scheme,Major Component,Sub Component,Activity Master Id,Activity Master Name,Activity Master Details ID,Activity Master Details Name,Norms / Unit Cost,Criteria For Appraisal
26,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.13,Specific Skill training,,
27,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.14,Electricity / water charges,,
28,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.15,Medical care/contingencies,,
29,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.16,Maintenance,,
30,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.17,Miscellaneous,,
31,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.18,Preparatory camps,,
32,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.19,P.T.A / school functions,,
33,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.2,Provision of Rent,,
34,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.21,Capacity Building,,
35,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,11,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 50)  (Elementary),11.22,Physical / Self Defence Training,,
36,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,12,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 50)   (Elementary),12.1,Furniture/ Equipment (including kitchen),No Norms,
37,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,12,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 50)   (Elementary),12.2,TLM and equipment including library books,No Norms,
38,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,12,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 50)   (Elementary),12.3,Bedding (new),No Norms,
39,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,12,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 50)   (Elementary),12.4,Replacement of bedding (once in 3 years),No Norms,
40,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,12,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 50)   (Elementary),12.5,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
41,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,12,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 50)   (Elementary),12.6,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
42,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,12,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 50)   (Elementary),12.7,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),
43,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.1,Food/Lodging per child per month,for KGBVs for classes VI to VIII of up to ? 60 lakh per annum,
44,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.2,Stipend   per child per month,,
45,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.3,"Supplementary TLM, Stationery and other educational material",,
46,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.4,1 Warden,,
47,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.5,4 Fulltime teachers as per RTE Norms,,
48,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.6,2 Urdu Teachers,,
49,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.7,3 Part time teachers,,
50,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.8,1 Full Time Accountant,,
51,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.9,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",,
52,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.1,1 Head Cook,,
53,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.11,2 Assistant Cook,,
54,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.12,Specific Skill training,,
55,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.13,Electricity / water charges,,
56,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.14,Medical care/contingencies,,
57,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.15,Maintenance,,
58,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.16,Miscellaneous,,
59,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.17,Preparatory camps,,
60,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.18,P.T.A / school functions,,
61,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.19,Provision of Rent,,
62,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.2,Capacity Building,,
63,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,13,Netaji Subhash Chandra Bose Avasiya Vidyala - Recurring (Previous Year) (Capacity 50)  (Elementary),13.21,Physical / Self Defence Training,,
64,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,14,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 100)  (Elementary),14.1,Furniture / Equipment (including kitchen equipment),No Norms,
65,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,14,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 100)  (Elementary),14.2,TLM and equipment including library books (New),No Norms,
66,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,14,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 100)  (Elementary),14.3,Bedding (New),No Norms,
67,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,14,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 100)  (Elementary),14.4,Construction of Building (new),As per  State SORs/CPWD Rate (Which ever is less),
68,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,14,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 100)  (Elementary),14.5,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
69,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,14,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (New) (Capacity 100)  (Elementary),14.6,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),
70,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.2,Food/Lodging per child per month,for KGBVs for classes VI to VIII of up to ? 60 lakh per annum,
71,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.3,Stipend   per child per month,,
72,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.4,"Supplementary TLM, Stationery and other educational material",,
73,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.5,1 Warden,,
74,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.6,1 Head Teacher  in case the enrollment exceeds 100,,
75,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.7,4 - 5 Fulltime teachers as per RTE Norms,,
76,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.8,2 Urdu Teachers,,
77,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.9,3 Part time teachers,,
78,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.1,1 Full time Accountant,,
79,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.11,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",,
80,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.12,1 Head Cook,,
81,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.13,2 Assistant Cook,,
82,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.14,Specific Skill training,,
83,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.15,Electricity / water charges,,
84,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.16,Medical care/contingencies,,
85,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.17,Maintenance,,
86,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.18,Miscellaneous,,
87,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.19,Preparatory camps,,
88,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.2,P.T.A / school functions,,
89,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.21,Provision of Rent,,
90,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.22,Capacity Building,,
91,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,15,Netaji Subhash Chandra Bose Avasiya Vidyalaya - Recurring (New) (Capacity 100)   (Elementary),15.23,Physical / Self Defence Training,,
92,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,16,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 100)  (Elementary),16.1,Furniture / Equipment (including kitchen equipment),No Norms,
93,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,16,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 100)  (Elementary),16.2,TLM and equipment including library books (New),No Norms,
94,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,16,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 100)  (Elementary),16.3,Bedding (New),No Norms,
95,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,16,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 100)  (Elementary),16.4,Replacement of bedding (once in 3 years),No Norms,
96,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,16,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 100)  (Elementary),16.5,Construction of building (new),As per  State SORs/CPWD Rate (Which ever is less),
97,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,16,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 100)  (Elementary),16.6,Boring/ Handpump,As per  State SORs/CPWD Rate (Which ever is less),
98,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,16,Netaji Subhash Chandra Bose Avasiya Vidyalaya - NR (Previous Year) (Capacity 100)  (Elementary),16.7,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),
99,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.1,Food/Lodging per child per month,for KGBVs for classes VI to VIII of up to ? 60 lakh per annum,
100,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.2,Stipend   per child per month,,
101,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.3,"Supplementary TLM, Stationery and other educational material",,
102,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.4,1 Warden,,
103,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.5,1 Head Teacher  in case the enrollment exceeds 100,,
104,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.6,4 - 5 Fulltime teachers as per RTE Norms,,
105,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.7,2 Urdu Teachers,,
106,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.8,3 Part time teachers,,
107,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.9,1 Full time Accountant,,
108,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.1,"2 Support staff - (Accountant/Assistant, Peon, Chowkidar)",,
109,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.11,1 Head Cook,,
110,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.12,2 Assistant Cook,,
111,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.13,Specific Skill training,,
112,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.14,Electricity / water charges,,
113,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.15,Medical care/contingencies,,
114,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.16,Maintenance,,
115,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.17,Miscellaneous,,
116,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.18,Preparatory camps,,
117,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.19,P.T.A / school functions,,
118,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.2,Provision of Rent,,
119,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.21,Capacity Building,,
120,Elementary Education,Access & Retention,Netaji Subhas Chandra Avasiya Vidhyalaya,17,Netaji Subhash Chandra Bose Avasiya Vidyal - Recurring (Previous Year) (Capacity 100)   (Elementary),17.22,Physical / Self Defence Training,,
